,commune,n_edges,n_vertices,is_commune_littorale,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
0,Ajaccio,1516,1195,1,1.2765770861454493,0.4931809613245151,1.0601609294987713,1.058276552584105,-0.08687474494734086,-0.28171906577505995,1.5090065715079952,-0.1428481556197366,-0.6816846208324101,-0.4022233906631794,-1.3628444424650354,-1.1753578749177451,-0.44737377117345417,-0.07442104390387763,-0.060357099029888686,0.1427521716103497,-0.7608674188984753,1.390670682058482,-0.926627758374357,-0.2548319639711195,-0.9166518656298788,-0.11413951279927302,0.0,0.12763664394660815,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
1,Bastia,745,561,1,0.5507209394170148,0.4571854357115454,-0.7002945958299895,0.7971712442053934,0.44422945158408655,-1.4916204791891157,0.3165001734792085,-0.1428481556197366,-0.5785062362448559,-0.48674292825358323,-0.28126308884385015,0.10764936874215525,0.3780290161632437,0.4652546956520565,-1.2478208492518108,1.318997361577067,0.28185069218229747,0.07811216603234661,0.29617833867261145,-0.2548319639711195,-0.13680250598926802,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
2,Bourg-en-Bresse,1996,1502,0,0.4906819334547598,-0.07268461502257889,0.14192682316937194,0.68671799938363,-0.25849741965942047,-0.4800647019397076,-0.4309775213721537,-0.1428481556197366,-0.2686841935840126,-0.09064238501639525,-0.07837331099884948,-0.8588896886592413,-0.4702811229813231,-0.1541491037020917,-0.2807364557011153,-0.8546359478553085,-0.17310243814446197,-0.5583716316546186,-0.9121948431597884,-0.2548319639711195,-0.8624370609377271,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
3,Laon,1595,1159,0,0.5604441591513362,1.6639664072114397,-2.003256588541671,0.6517739173728222,1.6270525672987022,-0.4350525029271111,-1.3225720124979594,-0.1428481556197366,-0.6694853294243811,-1.5848033351600515,-0.590698423346476,-0.08970189055388451,1.5221244908411535,1.8438602263578472,-0.618472041240819,0.09114124843332945,-1.0493720478417916,-1.3175721424088236,-0.18267049644912053,-0.2548319639711195,-0.4699234035590613,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
4,Moulins,1004,703,0,-0.6290970084286649,-0.7066342215920399,-0.3933671140376935,-0.278543078761069,-0.5451181614680326,0.2739740935186643,-0.4218281555956575,-0.1428481556197366,-0.37824573904224845,0.1417533421799213,1.3536046855311388,0.3686457779271636,-0.249062366292562,-0.3406064549735841,0.12206976204201825,0.4601537139160936,-0.10902363347191002,-0.3789079855403521,-0.33757782651115603,-0.2548319639711195,-0.654145851737879,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
5,Digne-les-Bains,1330,1087,0,2.2764431159199945,1.524585393835539,0.6430766289794879,1.7688872733388792,1.2106466873899933,-1.2670991621744565,-1.1838369482227515,-0.1428481556197366,-0.9871795050633129,-1.1320184258423607,-2.841024631076908,-1.4821396539981007,0.7750097797834844,1.2067940053921664,-1.2105151628123214,-2.2869298992713576,-1.1638214474075497,-1.1994380212297442,-0.5113480816257737,-0.2548319639711195,0.17933567230842865,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
6,Gap,3321,2619,0,1.792407422010693,2.1748581105133225,-0.6858665375353484,1.1941628073501303,2.3274809764705826,-0.4598990662526621,2.608222938311737,-0.1428481556197366,-1.4218203269630614,-1.9805913036996237,-3.036193189913729,-0.38925091118856675,2.251659201295101,2.025816518719451,-0.7262377631473454,-1.0192036958442325,2.0706755359991895,2.3905493837774507,2.2269236934218046,-0.2548319639711195,2.316943553195359,-0.11413951279927302,0.0,2.0348604129402244,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
7,Nice,5701,4221,1,-1.143020125811432,-1.823944867156601,2.09362650179132,-1.3201147105640618,-1.8514546515435517,1.0486079079436492,-0.7703085019190757,6.920244631218351,2.041340034984358,2.040849968259828,0.805111911985747,0.001992570989605804,-1.7729326247215804,-1.8715120177053182,1.5586471469388032,0.1856601806174882,-0.9302697252166876,-0.7627030204956728,-0.9494438116681057,0.39588151496506907,-0.7735065449126011,9.845108515425068,0.0,-0.21415804905329683,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
8,Privas,475,389,0,1.7053523495261196,-0.6288262994761015,1.5254053060405837,1.6739468590664455,-0.7649852209228231,-1.9118420649741292,-1.6314895788487789,-0.1428481556197366,-1.492424674002947,0.11178991709744344,-0.602695006084721,-1.0143879248170256,-0.7813647148557151,-0.8946247402362225,-1.5636995695589433,-2.516018959713337,-1.4648722262145153,-1.580618153222943,-0.6291999851263583,-0.2548319639711195,-1.4022099020024872,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
9,Charleville-Mézières,1946,1438,0,-0.41733577144708073,-1.0808374226716597,1.4867444800452476,-0.5898112616646388,-1.0006991102848621,1.2756172516407802,-1.2004911192146113,-0.1428481556197366,0.9336690665143623,0.8544127052261201,0.21652533432536014,0.4023655600606899,-0.6551020262310295,-1.2093216238665794,1.2380977336609291,-0.18769657250804928,-1.4648722262145153,-1.397118673389142,0.5663509902232473,-0.2548319639711195,-0.5942453869601046,-0.11413951279927302,0.0,-0.6663669175510756,3.428130670114847,0.0,-0.2130094245913811,0.0,0.0
